Date,Open,High,Low,Close,Adj Close,Volume
2020-10-21,1.259814,1.310956,1.254050,1.290724,1.290724,2091413
2020-10-22,1.288285,1.361848,1.281269,1.333700,1.333700,3307055
2020-10-23,1.327606,1.352221,1.308083,1.334765,1.334765,2031294
2020-10-24,1.334765,1.389965,1.332444,1.379540,1.379540,2346530
2020-10-25,1.379540,1.427735,1.357043,1.378279,1.378279,4007353
2020-10-26,1.378361,1.386356,1.316396,1.325110,1.325110,2365355
2020-10-27,1.325135,1.353350,1.311830,1.339053,1.339053,1807741
2020-10-28,1.338978,1.360032,1.297038,1.314258,1.314258,1704780
2020-10-29,1.314372,1.317518,1.257934,1.284104,1.284104,1726890
2020-10-30,1.284084,1.299448,1.244460,1.269776,1.269776,1335649
2020-10-31,1.269776,1.283484,1.253688,1.266845,1.266845,1077361
2020-11-01,1.266845,1.274124,1.254183,1.263726,1.263726,824189
2020-11-02,1.263455,1.282547,1.227209,1.243227,1.243227,1545836
2020-11-03,1.243239,1.246330,1.205188,1.244576,1.244576,1218389
2020-11-04,1.244887,1.248181,1.213075,1.242957,1.242957,891008
2020-11-05,1.242876,1.272442,1.238668,1.256420,1.256420,1632396
2020-11-06,1.256572,1.309568,1.252407,1.305704,1.305704,2909137
2020-11-07,1.305704,1.328150,1.232037,1.252285,1.252285,2760959
2020-11-08,1.252286,1.274158,1.245060,1.274131,1.274131,1149011
2020-11-09,1.274182,1.289444,1.224157,1.245792,1.245792,1590250
2020-11-10,1.245658,1.258650,1.239766,1.252339,1.252339,781923
2020-11-11,1.252285,1.264402,1.236781,1.245327,1.245327,1160663
2020-11-12,1.245283,1.252927,1.235117,1.243043,1.243043,1139831
2020-11-13,1.243232,1.259276,1.238158,1.256417,1.256417,1233616
2020-11-14,1.256417,1.274814,1.238895,1.245343,1.245343,1658631
2020-11-15,1.245348,1.246288,1.227453,1.237550,1.237550,683478
2020-11-16,1.237526,1.266916,1.231701,1.256612,1.256612,1444148
2020-11-17,1.271184,1.290102,1.260310,1.289727,1.289727,2259968
2020-11-18,1.289635,1.296415,1.243330,1.269516,1.269516,2494031
2020-11-19,1.269378,1.290008,1.250781,1.272926,1.272926,1314500
2020-11-20,1.272876,1.285238,1.253401,1.275256,1.275256,2735656
2020-11-21,1.275253,1.475483,1.269233,1.367086,1.367086,16759826
2020-11-22,1.367086,1.404807,1.318358,1.363673,1.363673,5877364
2020-11-23,1.363649,1.509603,1.339614,1.509603,1.509603,10268559
2020-11-24,1.510460,1.777440,1.457904,1.584986,1.584986,21707180
2020-11-25,1.585265,1.675958,1.489914,1.527436,1.527436,10617447
2020-11-26,1.527277,1.547693,1.247789,1.316264,1.316264,9769402
2020-11-27,1.316357,1.389658,1.284214,1.332343,1.332343,4379920
2020-11-28,1.332342,1.431776,1.326412,1.414382,1.414382,6919983
2020-11-29,1.414381,1.419452,1.364329,1.395139,1.395139,2850086
2020-11-30,1.395162,1.505438,1.377731,1.483330,1.483330,5777511
2020-12-01,1.483170,1.489819,1.339715,1.373682,1.373682,5856790
2020-12-02,1.373703,1.403213,1.347289,1.388337,1.388337,2472981
2020-12-03,1.388360,1.584389,1.384421,1.553053,1.553053,12351336
2020-12-04,1.552923,1.577260,1.421677,1.430982,1.430982,7857197
2020-12-05,1.430874,1.461844,1.413015,1.444853,1.444853,2665344
2020-12-06,1.444914,1.486250,1.409894,1.436822,1.436822,2892469
2020-12-07,1.436859,1.444999,1.391792,1.404478,1.404478,2158301
2020-12-08,1.404407,1.413506,1.300302,1.311771,1.311771,3479218
2020-12-09,1.311718,1.366909,1.255888,1.337960,1.337960,3772093
2020-12-10,1.337501,1.344152,1.296452,1.329097,1.329097,1726893
2020-12-11,1.328755,1.331238,1.276991,1.282504,1.282504,1569031
2020-12-12,1.282512,1.353042,1.273461,1.342986,1.342986,3664063
2020-12-13,1.342981,1.400417,1.332684,1.355841,1.355841,5213147
2020-12-14,1.355505,1.384741,1.327569,1.366526,1.366526,2318119
2020-12-15,1.366546,1.388643,1.339461,1.382280,1.382280,2554455
2020-12-16,1.382225,1.446837,1.357103,1.442342,1.442342,5029596
2020-12-17,1.442336,1.573373,1.439093,1.491895,1.491895,10119727
2020-12-18,1.491899,1.553025,1.453168,1.516769,1.516769,4866043
2020-12-19,1.516678,1.540156,1.479146,1.511973,1.511973,4136516
2020-12-20,1.512165,1.675882,1.466742,1.594727,1.594727,17918639
2020-12-21,1.594392,1.700913,1.413084,1.429093,1.429093,14055324
2020-12-22,1.429069,1.491044,1.394786,1.480918,1.480918,6858800
2020-12-23,1.480872,1.485788,1.281605,1.323701,1.323701,8334370
2020-12-24,1.323626,1.421184,1.276866,1.400595,1.400595,6265243
2020-12-25,1.400605,1.451951,1.367938,1.414113,1.414113,4383940
2020-12-26,1.414266,1.437627,1.372085,1.404432,1.404432,2764769
2020-12-27,1.404442,1.458367,1.313007,1.367632,1.367632,6830122
2020-12-28,1.367561,1.414138,1.354205,1.361363,1.361363,3592325
2020-12-29,1.361260,1.367525,1.298228,1.340959,1.340959,3794017
2020-12-30,1.341043,1.414581,1.335304,1.355849,1.355849,3687383
2020-12-31,1.355926,1.373895,1.298771,1.341502,1.341502,4499497
2021-01-01,1.341502,1.372708,1.337940,1.354217,1.354217,2559329
2021-01-02,1.354244,1.373674,1.336466,1.353774,1.353774,3333746
2021-01-03,1.353909,1.486578,1.345335,1.467909,1.467909,15739521
2021-01-04,1.467667,1.511740,1.347091,1.397581,1.397581,9590607
2021-01-05,1.397511,1.430234,1.364069,1.410484,1.410484,3889331
2021-01-06,1.410315,1.608450,1.394957,1.530649,1.530649,18254415
2021-01-07,1.530738,1.596087,1.468166,1.555961,1.555961,14189039
2021-01-08,1.556036,1.688182,1.464104,1.682854,1.682854,26399809
2021-01-09,1.682833,1.729518,1.592855,1.712811,1.712811,12454595
2021-01-10,1.713473,2.015919,1.597414,1.746266,1.746266,56996218
2021-01-11,1.746154,1.754102,1.338528,1.469120,1.469120,20401284
